大类,dashboardId,chartId,指标,网关,筛选说明,备注
活跃,10015816,89122,DAU,oci,日期、平台、国家/地区、新老、渠道/自然,
活跃,10015816,89128/89127/89126,活跃次日/7日/30日留存率,oci,日期、平台、国家/地区、新老、渠道/自然,近1/7/30天由于次留尚未出因此为0
活跃,10015834,89255,DNU,oci,日期、平台、国家/地区、渠道/自然,
活跃,10015834,89258/89257/89256,新增次日/7日/30日留存率,oci,日期、平台、国家/地区、渠道/自然,近1/7/30天由于次留尚未出因此为0
活跃,10015823,89215,MAU,oci,日期、平台、国家/地区、渠道/自然,
活跃,10015823,89254,MNU,oci,日期、平台、国家/地区、渠道/自然,
活跃,10015823,89253,次月留存率,oci,日期、平台、国家/地区、渠道/自然,近1月由于次留尚未出因此为0
活跃,10015823,89414,新用户次月留存率,oci,日期、平台、国家/地区、渠道/自然,近1月由于次留尚未出因此为0
活跃,10015808,89016,MAU拆解,oci,日期、平台、国家/地区,将一个月的MAU拆解为渠道新增、自然新增、上月渠道新增留存、上月自然新增留存、上月老用户留存、本月回流用户，用来定位MAU的波动原因

功能,10015697,88124/88123/88125/88126/90772/90773,一级功能进入UV/进入PV/保存UV/保存PV/进入渗透率（进入UV/DAU）/保存渗透率（保存UV/DAU）,oci,日期、平台、国家/地区、新老、渠道/自然、版本、付费状态（整体、Paying：当前订阅有效期内、Un-Paying：当前非订阅有效期内）、一级功能（整体、图片编辑、视频编辑、相机、H5）,该看板为一级功能看板，其中图片编辑是核心，视频编辑也有附带看，其他用的很少
功能,10015706,88192/88191/88217/88218/88193/88194/88513/88514/90774/90776,图片编辑器下二级功能进入UV/进入PV/打勾UV/打勾PV/保存UV/保存PV/曝光UV/曝光PV/进入渗透率（进入UV/DAU）/保存渗透率（保存UV/DAU）,oci,日期、平台、国家/地区、新老、渠道/自然、版本、付费状态（整体、Paying：当前订阅有效期内、Un-Paying：当前非订阅有效期内）、一级功能（图片编辑）、二级功能,该看板为图片编辑下的二级功能看板，是看功能行为数据的主要看板
功能,10015880,90038/90039/89558/89559/89553/89554,图片编辑器下三级功能进入UV/进入PV/打勾UV/打勾PV/保存UV/保存PV,oci,日期、平台、国家/地区、新老、渠道/自然、版本、付费状态（整体、Paying：当前订阅有效期内、Un-Paying：当前非订阅有效期内）、一级功能（图片编辑）、二级功能、三级功能,该看板为图片编辑下的三级功能看板，但并非所有二级功能都配置了三级功能，有些二级功能尚未配置
功能,10015982,90318/90319/90314/90315/90311/90312,图片编辑器下四级功能进入UV/进入PV/打勾UV/打勾PV/保存UV/保存PV,oci,日期、平台、国家/地区、新老、渠道/自然、版本、付费状态（整体、Paying：当前订阅有效期内、Un-Paying：当前非订阅有效期内）、一级功能（图片编辑）、二级功能、三级功能、四级功能,该看板为图片编辑下的四级功能看板，但并非所有三级功能都配置了四级功能，有些四级功能尚未配置
素材,10015925,90010,素材的曝光uv/点击uv/打勾uv/保存uv/订阅uv/订阅转付费uv/订阅收入,oci,日期、平台、国家/地区、新老、渠道/自然、素材类型（makeup、relight等）、素材子类型（素材类型的子层级）、素材ID、素材名称、分类ID、分类名称,该看板为素材看板，素材类型为二级功能

订阅,10015810,89046,每日毛利（剔除退款）,oci,日期、产品（AirBrush）、平台、内地/海外、大洲、国家地区、订阅类型(整体、年、月、周、季)、支付渠道,仅取美元指标
订阅,10015810,89060,2026年累计毛利(剔除退款),oci,日期、产品（AirBrush）、平台、内地/海外、大洲、国家地区、订阅类型(整体、年、月、周、季)、支付渠道,仅取美元指标，2026年累计毛利，主要用于查看2026的订阅OKR进度，注意不等于2026年的每日毛利（剔除退款）加起来，比如用户1.1付费，1.2才入库，这笔订单不会计在任何一天的「每日毛利」下，也不会计在1.1的「累积毛利」下，但会记在1.2的「累积毛利」下
订阅,10015810,89049,每日毛利,oci,日期、产品（AirBrush）、平台、内地/海外、大洲、国家地区、订阅类型(整体、年、月、周、季)、支付渠道,仅取美元指标，不剔除退款
订阅,10015810,89058,月有效会员数,oci,日期、产品（AirBrush）、平台、内地/海外、大洲、国家地区、订阅类型(整体、年、月、周、季)、支付渠道,当月处于会员有效期状态的用户数，有两个口径，月有效会员数代表不限制当月活跃，月有效活跃会员数代表限制当月活跃
订阅,10015810,89052,新增会员数,oci,日期、产品（AirBrush）、平台、内地/海外、大洲、国家地区、订阅类型(整体、年、月、周、季)、支付渠道,新增订阅（包含免费试用）的
订阅,10015810,89053,新增付费会员数,oci,日期、产品（AirBrush）、平台、内地/海外、大洲、国家地区、订阅类型(整体、年、月、周、季)、支付渠道,限制新增付费的
订阅,10015810,89054,续费会员数,oci,日期、产品（AirBrush）、平台、内地/海外、大洲、国家地区、订阅类型(整体、年、月、周、季)、支付渠道,限制续费付费的
订阅,10015839,89280,新增毛利,oci,日期、平台、大洲、国家/地区、订阅类型(整体、年、月、周、季)、支付渠道,新增付费的订阅毛利，不剔除退款
订阅,10015839,89281,续费毛利,oci,日期、平台、大洲、国家/地区、订阅类型(整体、年、月、周、季)、支付渠道,续费付费的订阅毛利，不剔除退款
订阅,10015839,89283,分成比,oci,日期、平台、大洲、国家/地区、订阅类型(整体、年、月、周、季)、支付渠道,每日毛利（剔除退款）/每日分成前收入（剔除退款）
订阅,10015839,89418,ARPPU,oci,日期、平台、大洲、国家/地区、订阅类型(整体、年、月、周、季)、支付渠道,返回三个指标，包括整体ARPPU、新增ARPPU、续费ARPPU

订阅,10015756,88475,多个指标,oci,日期、平台、自然/渠道投放、新老用户、国家/地区、版本,该看板为从埋点触发的汇总订阅链路（链路具有完整性，例如1.1试用，1.8付费，则这笔订单会返回到1.1，因此看板的近7天的付费数据均偏低），包括订阅页进入、点击去订阅、订阅成功（包括试用）、订阅成功付费、订阅毛利（即订阅付费收入-分成后），另外由于订阅方式有直接付费和试用两种，分为 试用、试用转化为付费、直接付费几个指标
订阅,10015757,88482,多个指标,oci,日期、平台、自然/渠道投放、新老用户、国家/地区、版本、订阅周期（年、月、周、季）、SKU（注意整体和单个SKU不要同时选，下面会算重）,为汇总订阅链路看板区分SKU版本，当需要进一步拆分年月周的波动时用
