event_id,event_name,event_desc,param_count,param_keys,requirement_count,versions,requirement_ids
account_logout_success,退出登录成功,用户确认退出登录且退出成功时触发,1,account_id,1,8.13.5,6409
ai_func_delivery,请求ai算法,请求（是否拦截）的时候上报（缓存不报）,11,"category_id,first_func,fourth_func,func,is_create_task,material_id,material_name,pic_num,second_func,theme_type,third_func",24,"8.1.0,8.1.5,8.2.0,8.3.0,8.4.0,8.5.0,8.6.0,8.8.0,8.9.0,8.10.0,8.11.0,8.11.5,8.12.0,8.13.0","6155,6157,6170,6173,6174,6176,6177,6194,6195,6204,6205,6207,6217,6239,6240,6289,6302,6325,6326,6327,6339,6344,6365,6396"
ai_func_use_result,使用ai算法请求结果返回,使用ai算法请求结果返回时触发,17,"category_id,first_func,fourth_func,func,is_generate_again,is_recommend,is_retry,is_success,material_id,material_name,pic_num,second_func,task_id,theme_type,third_func,time,trace",30,"8.1.0,8.1.5,8.2.0,8.3.0,8.4.0,8.5.0,8.6.0,8.8.0,8.9.0,8.10.0,8.11.0,8.11.5,8.12.0,8.13.0","6153,6155,6156,6157,6170,6173,6174,6176,6177,6194,6195,6204,6205,6207,6217,6224,6226,6239,6240,6283,6289,6302,6325,6326,6327,6339,6344,6365,6396,6404"
appstore_pay_fail,付费失败,付费失败时上报,3,"current_sku,prf_fail_reason,trace_info",3,"8.1.0,8.7.0,8.13.5","6147,6255,6409"
button_click,按钮点击,enhance按钮点击上报,3,"language_name,name,pic_num",6,"8.5.0,8.7.0,8.11.0,8.11.5,8.13.0","6226,6271,6344,6366,6378,6407"
button_show,按钮曝光,smart&classic按钮曝光,1,name,1,8.11.0,6348
click_onboarding,点击onboarding 页面按钮,点击onboarding 页面按钮时上报,2,"buttom,page",1,8.7.0,6268
cloudfilter_per_show,图片云处理权限弹窗点击,,2,"function,port",14,"8.1.0,8.2.0,8.3.0,8.4.0,8.5.0,8.6.0,8.8.0,8.9.0,8.11.0,8.11.5","6157,6174,6177,6195,6204,6205,6207,6217,6226,6240,6283,6304,6325,6339"
cloudfilter_per_show_ok,图片云处理权限弹窗点击,云服务弹窗点击ok,4,"function,port,type,version",14,"8.1.0,8.2.0,8.3.0,8.4.0,8.5.0,8.6.0,8.8.0,8.9.0,8.11.0,8.11.5","6157,6174,6177,6195,6204,6205,6207,6217,6226,6240,6283,6304,6325,6339"
connected_account_fail,第三方账号连接失败,第三方账号绑定当前 Airbrush account_id 失败时触发,2,"connect_type,fail_reason",1,8.13.5,6409
connected_account_success,第三方账号连接成功,第三方账号成功绑定到当前 Airbrush account_id 时触发,2,"account_id,connect_type",1,8.13.5,6409
contact_us_enter,客服入口点击,客服入口点击时上报,1,from,1,8.10.0,6334
edit_banner_click,编辑器内横幅点击,编辑器内横幅点击「let us know」时上报,3,"button_type,func,type",2,"8.7.0,8.9.0","6242,6303"
edit_banner_show,编辑器内横幅曝光,编辑器内横幅曝光时上报,2,"func,type",2,"8.7.0,8.9.0","6242,6303"
edit_button_click,编辑器按钮点击,,2,"button_type,first_func",1,8.1.5,6170
edit_enter,进入编辑页,进入编辑页时触发,4,"edit_enter_from,first_source,is_live,second_source",6,"8.0.0,8.1.0,8.6.5,8.7.0,8.8.0","6131,6148,6253,6268,6269,6295"
edit_save,编辑保存,结束编辑最终保存时触发,13,"enhance_quality,is_upload,mids_category_id,mids_material_id,mod,prf_first_func,prf_material_type,prf_second_func,prf_theme_type,prf_third_func,tab,type,unlock_func",31,"7.23.0,8.0.0,8.1.0,8.1.5,8.2.0,8.3.0,8.4.0,8.5.0,8.7.0,8.8.0,8.9.0,8.10.0,8.11.0,8.11.5,8.12.0,8.13.0","6131,6140,6146,6156,6157,6163,6170,6173,6174,6177,6178,6193,6194,6195,6205,6223,6226,6265,6271,6283,6289,6304,6305,6323,6325,6339,6342,6364,6365,6366,6402"
editor_race_detect,进入编辑页,获得人种结果时上报,3,"age,gender,race",3,"8.7.0,8.12.0,8.13.0","6231,6372,6398"
enter_onboarding,进入onboarding 页面,进入onboarding 页面时上报(时机延迟到同意后上报),1,page,1,8.7.0,6268
first_func_enter,点击一级功能页面,点击一级功能页面时上报,4,"first_func,is_tag,mod,tab",6,"8.1.0,8.7.0,8.10.0,8.11.5,8.13.0","6131,6271,6307,6323,6364,6402"
first_func_exposure,一级功能曝光,,1,is_tag,1,8.10.0,6307
first_func_save,一级功能保存,一级relight保存,2,"first_func,presets_selection",1,8.11.5,6364
first_func_use,一级功能使用,一级功能使用时触发,4,"first_func,mod,prf_func_added,tab",7,"7.23.0,8.2.0,8.7.0,8.8.0,8.10.0,8.11.5,8.13.0","6140,6173,6271,6289,6323,6364,6402"
first_mykit_redirect,,,1,func_redirected,1,7.23.0,6140
first_start,启动app,冷启动上报一次,1,isTestFlight,1,8.3.0,6196
fourth_func_click,四级功能点击,四级功能点击时触发,8,"first_func,fourth_func,from,is_tag,mod,second_func,tab,third_func",4,"8.7.0,8.8.0,8.10.0,8.11.0","6271,6283,6307,6339"
fourth_func_enter,,,4,"fourth_func,is_tag,second_func,third_func",3,"8.3.0,8.10.0,8.11.5","6195,6307,6325"
fourth_func_exposure,四级功能曝光,四级功能曝光,1,is_tag,1,8.10.0,6307
func_use_video_body,打勾视频body,视频body打勾时触发,12,"by_arm_value,by_auto_value,by_breast_value,by_head_value,by_hips_value,by_legs_value,by_length_value,by_neck_value,by_shoulders_value,by_slim_value,by_square_shoulders,by_waist_value",1,8.6.0,6210
